"","Season","Team","name","pass.att","pass.comp","passyds","pass.tds","rush.att","rushyds","rushtds","recept","recyds","rec.tds","games","total.tds"
"224","2012","NO","S.Ellis",0,0,0,0,0,0,0,0,0,0,1,0
"225","2012","NO","C.White",0,0,0,0,0,0,0,0,0,0,1,0
"226","2012","NO","W.Herring",0,0,0,0,0,0,0,0,0,0,1,0
"227","2012","NO","B.Bunkley",0,0,0,0,0,0,0,0,0,0,1,0
"228","2012","NO","W.Smith",0,0,0,0,0,0,0,0,0,0,1,0
"229","2012","NO","P.Robinson",0,0,0,0,0,0,0,0,0,0,1,0
"230","2012","NO","S.Shanle",0,0,0,0,0,0,0,0,0,0,1,0
"231","2012","NO","J.Patrick",0,0,0,0,0,0,0,0,0,0,1,0
"232","2012","NO","J.Galette",0,0,0,0,0,0,0,0,0,0,1,0
"233","2012","NO","J.Casillas",0,0,0,0,0,0,0,0,0,0,1,0
"234","2012","NO","T.Johnson",0,0,0,0,0,0,0,0,0,0,1,0
"235","2012","WAS","B.Banks",0,0,0,0,0,0,0,1,6,0,1,0
"236","2012","WAS","R.Griffin",26,19,320,2,10,42,0,0,0,0,1,2
"237","2012","WAS","P.Garcon",0,0,0,0,0,0,0,4,109,1,1,1
"238","2012","WAS","L.Paulsen",0,0,0,0,0,0,0,1,22,0,1,0
"239","2012","WAS","R.Helu",0,0,0,0,2,2,0,3,25,0,1,0
"240","2012","WAS","E.Royster",0,0,0,0,2,10,0,0,0,0,1,0
"241","2012","WAS","D.Young",0,0,0,0,2,3,0,0,0,0,1,0
"242","2012","WAS","A.Morris",0,0,0,0,28,96,2,0,0,0,1,2
"243","2012","WAS","A.Robinson",0,0,0,0,0,0,0,4,52,1,1,1
"244","2012","WAS","J.Morgan",0,0,0,0,0,0,0,1,21,0,1,0
"245","2012","WAS","S.Moss",0,0,0,0,0,0,0,3,47,0,1,0
"246","2012","WAS","F.Davis",0,0,0,0,0,0,0,2,38,0,1,0
"247","2012","WAS","B.Cundiff",0,0,0,0,0,0,0,0,0,0,1,0
"248","2012","WAS","P.Riley",0,0,0,0,0,0,0,0,0,0,1,0
"249","2012","WAS","J.Wilson",0,0,0,0,0,0,0,0,0,0,1,0
"250","2012","WAS","S.Bowen",0,0,0,0,0,0,0,0,0,0,1,0
"251","2012","WAS","C.Griffin",0,0,0,0,0,0,0,0,0,0,1,0
"252","2012","WAS","D.Hall",0,0,0,0,0,0,0,0,0,0,1,0
"253","2012","WAS","D.Gomes",0,0,0,0,0,0,0,0,0,0,1,0
"254","2012","WAS","Mad.Williams",0,0,0,0,0,0,0,0,0,0,1,0
"255","2012","WAS","B.Orakpo",0,0,0,0,0,0,0,0,0,0,1,0
"256","2012","WAS","A.Carriker",0,0,0,0,0,0,0,0,0,0,1,0
"257","2012","WAS","L.Fletcher",0,0,0,0,0,0,0,0,0,0,1,0
"258","2012","WAS","R.Kerrigan",0,0,0,0,0,0,0,0,0,0,1,0
"259","2012","WAS","R.Doughty",0,0,0,0,0,0,0,0,0,0,1,0
"260","2012","DET","S.Logan",0,0,0,0,1,1,0,1,-1,0,1,0
"261","2012","DET","T.Young",0,0,0,0,1,11,0,1,14,0,1,0
"262","2012","DET","W.Heller",0,0,0,0,0,0,0,2,19,0,1,0
"263","2012","DET","M.Stafford",48,32,355,1,0,0,0,1,3,0,1,1
"264","2012","DET","K.Smith",0,0,0,0,13,62,1,4,29,1,1,2
"265","2012","DET","N.Burleson",0,0,0,0,1,6,0,6,69,0,1,0
"266","2012","DET","K.Williams",0,0,0,0,1,2,0,1,4,0,1,0
"267","2012","DET","J.Bell",0,0,0,0,1,1,1,0,0,0,1,1
"268","2012","DET","C.Johnson",0,0,0,0,0,0,0,6,111,0,1,0
"269","2012","DET","E.Coleman",0,0,0,0,0,0,0,0,0,0,1,0
"270","2012","DET","B.Pettigrew",0,0,0,0,0,0,0,5,77,0,1,0
"271","2012","DET","T.Scheffler",0,0,0,0,0,0,0,5,30,0,1,0
"272","2012","DET","J.Hanson",0,0,0,0,0,0,0,0,0,0,1,0
"273","2012","DET","J.Durant",0,0,0,0,0,0,0,0,0,0,1,0
"274","2012","DET","S.Tulloch",0,0,0,0,0,0,0,0,0,0,1,0
"275","2012","DET","D.Levy",0,0,0,0,0,0,0,0,0,0,1,0
"276","2012","DET","C.Williams",0,0,0,0,0,0,0,0,0,0,1,0
"277","2012","DET","K.Vanden Bosch",0,0,0,0,0,0,0,0,0,0,1,0
"278","2012","DET","J.Wendling",0,0,0,0,0,0,0,0,0,0,1,0
"279","2012","DET","N.Suh",0,0,0,0,0,0,0,0,0,0,1,0
"280","2012","DET","D.Florence",0,0,0,0,0,0,0,0,0,0,1,0
"281","2012","DET","J.Lacey",0,0,0,0,0,0,0,0,0,0,1,0
"282","2012","DET","SamL.Hill",0,0,0,0,0,0,0,0,0,0,1,0
"283","2012","DET","N.Fairley",0,0,0,0,0,0,0,0,0,0,1,0
"284","2012","DET","C.Avril",0,0,0,0,0,0,0,0,0,0,1,0
"285","2012","DET","D.Bentley",0,0,0,0,0,0,0,0,0,0,1,0
"286","2012","DET","A.Spievey",0,0,0,0,0,0,0,0,0,0,1,0
"287","2012","STL","S.Bradford",25,17,198,1,3,3,0,0,0,0,1,1
"288","2012","STL","D.Amendola",0,0,0,0,1,2,0,5,70,0,1,0
"289","2012","STL","S.Jackson",0,0,0,0,21,53,0,4,31,0,1,0
"290","2012","STL","D.Richardson",0,0,0,0,2,20,0,0,0,0,1,0
"291","2012","STL","R.Turner",0,0,0,0,0,0,0,0,4,0,1,0
"292","2012","STL","L.Kendricks",0,0,0,0,0,0,0,2,16,0,1,0
"293","2012","STL","S.Smith",0,0,0,0,0,0,0,1,16,0,1,0
"294","2012","STL","I.Pead",0,0,0,0,0,0,0,0,0,0,1,0
"295","2012","STL","B.Gibson",0,0,0,0,0,0,0,4,51,1,1,1
"296","2012","STL","M.McNeill",0,0,0,0,0,0,0,1,10,0,1,0
"297","2012","STL","G.Zuerlein",0,0,0,0,0,0,0,0,0,0,1,0
"298","2012","STL","C.Finnegan",0,0,0,0,0,0,0,0,0,0,1,0
"299","2012","STL","J.Dunbar",0,0,0,0,0,0,0,0,0,0,1,0
"300","2012","STL","J.Laurinaitis",0,0,0,0,0,0,0,0,0,0,1,0
"301","2012","STL","Q.Mikell",0,0,0,0,0,0,0,0,0,0,1,0
"302","2012","STL","C.Dahl",0,0,0,0,0,0,0,0,0,0,1,0
"303","2012","STL","R.McIntosh",0,0,0,0,0,0,0,0,0,0,1,0
"304","2012","STL","J.Jenkins",0,0,0,0,0,0,0,0,0,0,1,0
"305","2012","STL","R.Quinn",0,0,0,0,0,0,0,0,0,0,1,0
"306","2012","STL","B.Fletcher",0,0,0,0,0,0,0,0,0,0,1,0
"307","2012","STL","K.Langford",0,0,0,0,0,0,0,0,0,0,1,0
